FID,nama,kod_sg,hierarki,rizab,jarak,Shape__Length,SHAPE
1,Parit MonsunTaman Skudai Indah 2,Tiada Mak,Parit Monsun,Parit,0.529868,528.6373683996363,"{'paths': [[[8654.37100000028, -56522.5465999991], [8650.07100000046, -56521.4966000002], [8645.77099999972, -56520.7466000002], [8641.67100000009, -56520.2965999991], [8637.67100000009, -56520.1466000006], [8633.77099999972, -56520.2965999991], [8629.9709999999, -56520.7466000002], [8626.27099999972, -56521.4966000002], [8622.67100000009, -56522.5465999991], [8620.17100000009, -56523.5666000005], [8617.67100000009, -56524.9365999997], [8615.07100000046, -56526.6566000003], [8612.4709999999, -56528.7566], [8608.27099999972, -56532.6466000006], [8599.07100000046, -56542.3166000005], [8594.87100000028, -56546.3665999994], [8581.87100000028, -56558.3765999991], [8568.9709999999, -56571.4066000003], [8555.87100000028, -56585.5766000003], [8542.57100000046, -56601.0965999998], [8529.67100000009, -56616.8866000008], [8515.77099999972, -56634.7366000004], [8501.77099999972, -56653.3366], [8463.77099999972, -56704.7566999998], [8451.9709999999, -56720.2467], [8441.27099999972, -56733.9567000009], [8428.57100000046, -56749.4166999999], [8416.37100000028, -56763.4967], [8404.37100000028, -56776.4667000007], [8392.4709999999, -56788.4867000002], [8379.57100000046, -56800.8967000004], [8366.57100000046, -56813.1766999997], [8353.37100000028, -56825.2967000008], [8340.07100000046, -56837.2766999993], [8326.57100000046, -56849.1066999994], [8312.9709999999, -56860.8067000005], [8299.17100000009, -56872.3466999996], [8285.27099999972, -56883.7467]]], 'spatialReference': {'wkid': 3377, 'latestWkid': 3377}}"
2,Parit MonsunTaman Mutiara Rini,Tiada Mak,Parit Monsun,Parit,0.732099,730.3135470138019,"{'paths': [[[8277.37100000028, -56863.9067000002], [8262.67100000009, -56883.2567999996], [8247.4709999999, -56902.0267999992], [8231.77099999972, -56920.2467999998], [8215.67100000009, -56937.8968000002], [8199.07100000046, -56954.9868000001], [8181.9709999999, -56971.4967999998], [8164.37100000028, -56987.4467999991], [8146.37100000028, -57002.8267999999], [8140.27099999972, -57007.6867999993], [8133.67100000009, -57012.4967999998], [8126.57100000046, -57017.3467999995], [8118.77089999989, -57022.3068000004], [8103.77089999989, -57031.1268000007], [8066.47090000007, -57052.0767999999], [8056.37090000045, -57058.1269000005], [8047.47090000007, -57063.8169], [8038.17090000026, -57070.3069000002], [8029.87090000045, -57076.7969000004], [8022.27089999989, -57083.3869000003], [8015.37090000045, -57090.1668999996], [8004.47090000007, -57101.3468999993], [7999.37090000045, -57106.9469000008], [7994.87090000045, -57112.6369000003], [7991.5708999997, -57117.9469000008], [7989.67090000026, -57122.4368999992], [7988.27089999989, -57127.3368999995], [7987.67090000026, -57132.7069000006], [7987.5708999997, -57138.6269000005], [7988.0708999997, -57144.3268999998], [7989.0708999997, -57150.7869000006], [7994.37090000045, -57175.5269000009], [7995.37090000045, -57180.9769000001], [7995.97090000007, -57185.8368999995], [7996.47090000007, -57191.2668999992], [7996.5708999997, -57196.2568999995], [7996.27089999989, -57200.9068999998], [7995.5708999997, -57205.2668999992], [7992.5708999997, -57218.7668999992], [7990.0708999997, -57227.5768999998], [7988.67090000026, -57231.4968999997], [7987.0708999997, -57235.0168999992], [7985.47090000007, -57238.1668999996], [7983.67090000026, -57240.9868999999], [7981.27089999989, -57243.9569000006], [7978.27089999989, -57246.7069000006], [7974.87090000045, -57249.2568999995], [7970.77089999989, -57251.6768999994], [7966.97090000007, -57253.5669], [7962.5708999997, -57255.5168999992], [7947.17090000026, -57261.4268999994], [7941.67090000026, -57263.7368999999], [7936.47090000007, -57266.2269000001], [7932.0708999997, -57268.7769000009], [7923.97090000007, -57274.1569999997], [7915.97090000007, -57279.7469999995], [7908.17090000026, -57285.557], [7900.5708999997, -57291.557], [7893.0708999997, -57297.7770000007], [7885.67090000026, -57304.1970000006], [7878.5708999997, -57310.8369999994], [7871.5708999997, -57317.6870000008], [7864.67090000026, -57324.7369999997], [7857.97090000007, -57331.9969999995], [7851.37090000045, -57339.4470000006], [7844.97090000007, -57347.1270000003], [7838.77089999989, -57355.0170000009], [7832.67090000026, -57363.1070000008], [7826.77089999989, -57371.4169999994], [7820.97090000007, -57379.9169999994]]], 'spatialReference': {'wkid': 3377, 'latestWkid': 3377}}"
3,Parit MonsunTaman Mutiara Rini,Tiada Mak,Parit Monsun,Parit,0.775147,773.3799281545432,"{'paths': [[[7713.77089999989, -57308.4670000002], [7687.0708999997, -57331.9670000002], [7660.77080000006, -57355.8269999996], [7634.77080000006, -57380.0669999998], [7609.27080000006, -57404.6771000009], [7584.17080000043, -57429.6871000007], [7559.47080000024, -57455.0670999996], [7535.27080000006, -57480.8070999999], [7511.37079999968, -57506.9371000007], [7500.87079999968, -57518.1670999993], [7475.17080000043, -57544.9070999995], [7468.37079999968, -57552.2071000002], [7462.47080000024, -57558.9070999995], [7455.77080000006, -57567.1271000002], [7449.77080000006, -57574.9970999993], [7444.47080000024, -57582.6871000007], [7439.87079999968, -57590.2971000001], [7436.47080000024, -57596.8771000002], [7433.17080000043, -57604.3472000007], [7429.67080000043, -57613.4372000005], [7422.77080000006, -57633.1772000007], [7419.57079999987, -57641.6371999998], [7415.87079999968, -57650.3372000009], [7412.17080000043, -57657.7772000004], [7408.37079999968, -57663.9071999993], [7404.37079999968, -57669.9372000005], [7399.77080000006, -57675.8271999992], [7394.87079999968, -57681.6172000002], [7389.57079999987, -57687.3271999992], [7383.77080000006, -57692.9671999998], [7377.47080000024, -57698.5771999992], [7370.67080000043, -57704.1872000005], [7364.67080000043, -57708.8071999997], [7358.27080000006, -57713.4971999992], [7343.77080000006, -57723.3472000007], [7329.27080000006, -57732.5872000009], [7291.77080000006, -57755.5771999992], [7281.27080000006, -57762.3372000009], [7271.97080000024, -57768.6172000002], [7261.97080000024, -57775.7572000008], [7253.07079999987, -57782.7572000008], [7244.87079999968, -57789.7072999999], [7237.47080000024, -57796.7072999999], [7223.17080000043, -57811.1472999994], [7209.17080000043, -57825.8872999996], [7195.37079999968, -57840.9173000008], [7181.87079999968, -57856.2473000009]]], 'spatialReference': {'wkid': 3377, 'latestWkid': 3377}}"
4,Parit MonsunTaman Mutiara Rini,Tiada Mak,Parit Monsun,Parit,0.762071,760.3084135672069,"{'paths': [[[7614.47080000024, -57225.1370000001], [7606.07079999987, -57227.3570000008], [7597.97080000024, -57230.0869999994], [7590.17080000043, -57233.307], [7582.77080000006, -57237.0470000003], [7577.97080000024, -57239.9069999997], [7573.27080000006, -57243.2970000003], [7568.57079999987, -57247.2569999993], [7563.67080000043, -57251.8269999996], [7559.67080000043, -57256.0769999996], [7555.27080000006, -57261.0069999993], [7540.67080000043, -57278.2770000007], [7535.07079999987, -57284.6870000008], [7524.97080000024, -57296.3369999994], [7514.27080000006, -57309.7770000007], [7504.27080000006, -57322.9969999995], [7480.37079999968, -57355.4770999998], [7467.67080000043, -57372.0070999991], [7446.07079999987, -57398.5171000008], [7424.27080000006, -57424.7871000003], [7402.07079999987, -57450.7771000005], [7379.67080000043, -57476.5070999991], [7356.87079999968, -57501.9870999996], [7333.77080000006, -57527.1971000005], [7310.47080000024, -57552.1471999995], [7286.77080000006, -57576.8472000007], [7262.87079999968, -57601.2772000004], [7238.57070000004, -57625.4472000003], [7213.97070000041, -57649.3472000007], [7189.17069999967, -57672.9971999992], [7163.97070000041, -57696.3772], [7138.47070000041, -57719.5072000008], [7112.77070000023, -57742.3673], [7086.57070000004, -57764.9672999997]]], 'spatialReference': {'wkid': 3377, 'latestWkid': 3377}}"
5,Parit MonsunTaman Universiti,Tiada Mak,Parit Monsun,Parit,0.892827,892.8984774902005,"{'paths': [[[7423.97070000041, -56705.2068000007], [7410.57060000021, -56708.2667999994], [7397.57060000021, -56711.9267999995], [7384.7706000004, -56716.1967999991], [7372.37060000002, -56721.0768999998], [7365.2706000004, -56724.3169], [7358.17059999984, -56728.1269000005], [7350.97059999965, -56732.5669], [7343.2706000004, -56737.7069000006], [7336.67059999984, -56742.5369000006], [7329.47059999965, -56748.1469000001], [7305.17059999984, -56768.0269000009], [7295.7706000004, -56775.4769000001], [7286.07060000021, -56782.6169000007], [7277.07060000021, -56788.5569000002], [7256.2706000004, -56801.0068999995], [7234.87060000002, -56812.9868999999], [7212.7706000004, -56824.4669000003], [7189.97059999965, -56835.4769000001], [7166.57060000021, -56846.0068999995], [7142.57060000021, -56856.0469000004], [7117.87060000002, -56865.5768999998], [7092.67059999984, -56874.5969999991], [7066.7706000004, -56883.1070000008], [7040.47059999965, -56891.0869999994], [7013.47049999982, -56898.5370000005], [6986.17050000001, -56905.4570000004], [6958.27049999963, -56911.8169999998], [6929.87050000019, -56917.6070000008], [6901.27049999963, -56922.8369999994], [6872.27049999963, -56927.5069999993], [6858.37050000019, -56929.9069999997], [6842.47049999982, -56933.307], [6826.47049999982, -56937.1370000001], [6784.27049999963, -56947.7670000009], [6771.97049999982, -56950.6469999999], [6760.87050000019, -56953.0170000009], [6748.97049999982, -56955.307], [6737.77049999963, -56957.0470000003], [6727.47049999982, -56958.2871000003], [6717.67050000001, -56959.0271000005], [6706.37040000036, -56959.2671000008], [6695.7703999998, -56958.7570999991], [6690.67040000018, -56958.2171], [6685.87040000036, -56957.4770999998], [6681.17040000018, -56956.5471000001], [6676.67040000018, -56955.4371000007], [6672.2703999998, -56954.1071000006], [6668.07039999962, -56952.6071000006], [6664.07039999962, -56950.8970999997], [6660.17040000018, -56949.0070999991], [6656.37040000036, -56946.9070999995], [6652.7703999998, -56944.6171000004], [6649.2703999998, -56942.1171000004], [6645.97039999999, -56939.4271000009], [6641.07039999962, -56934.9870999996], [6636.2703999998, -56930.2470999993], [6631.67040000018, -56925.2270999998], [6627.07039999962, -56919.9170999993], [6622.67040000018, -56914.3270999994], [6618.37040000036, -56908.4271000009], [6614.2703999998, -56902.2370999996], [6610.2703999998, -56895.7569999993]]], 'spatialReference': {'wkid': 3377, 'latestWkid': 3377}}"
6,Parit MonsunTaman Universiti,Tiada Mak,Parit Monsun,Parit,0.139248,138.88427336637747,"{'paths': [[[6499.17030000035, -56792.5769999996], [6500.8702999996, -56800.6569999997], [6503.07029999979, -56808.4570000004], [6505.47039999999, -56815.2170000002], [6508.37040000036, -56821.7569999993], [6511.57039999962, -56828.0370000005], [6515.2703999998, -56834.0869999994], [6519.2703999998, -56839.8870000001], [6523.7703999998, -56845.4370000008], [6528.67040000018, -56850.7569999993], [6533.87040000036, -56855.8570000008], [6539.47039999999, -56860.6970000006], [6545.57039999962, -56865.2870000005], [6552.07039999962, -56869.6469999999], [6558.87040000036, -56873.7570999991], [6566.17040000018, -56877.6470999997], [6573.87040000036, -56881.2771000005], [6581.97039999999, -56884.6769999992], [6590.37040000036, -56887.8269999996]]], 'spatialReference': {'wkid': 3377, 'latestWkid': 3377}}"
7,Parit MonsunTaman Mutiara Rini,Tiada Mak,Parit Monsun,Parit,0.786258,784.4623090586052,"{'paths': [[[7535.07070000004, -56867.9268999994], [7524.07070000004, -56886.3769000005], [7512.77070000023, -56904.5168999992], [7501.27070000023, -56922.3268999998], [7489.47070000041, -56939.8468999993], [7477.27070000023, -56957.0569000002], [7464.87069999985, -56973.9569000006], [7452.17069999967, -56990.5469000004], [7439.17069999967, -57006.8268999998], [7425.87069999985, -57022.7969000004], [7412.27070000023, -57038.4570000004], [7398.37069999985, -57053.7970000003], [7384.27070000023, -57068.8570000008], [7369.77070000023, -57083.5769999996], [7355.07070000004, -57098.0069999993], [7340.07070000004, -57112.1270000003], [7324.77070000023, -57125.9269999992], [7314.97070000041, -57134.9370000008], [7303.87069999985, -57145.8469999991], [7292.67069999967, -57157.3469999991], [7261.17069999967, -57190.2469999995], [7251.47070000041, -57200.0170000009], [7242.77070000023, -57208.5669999998], [7232.97070000041, -57217.6670999993], [7223.87069999985, -57225.6771000009], [7215.17069999967, -57232.7270999998], [7206.77070000023, -57238.8870999999], [7197.07070000004, -57245.2370999996], [7192.37069999985, -57247.9471000005], [7187.77070000023, -57250.3771000002], [7183.27070000023, -57252.5070999991], [7178.87069999985, -57254.3370999992], [7174.47070000041, -57255.8970999997], [7170.17069999967, -57257.1570999995], [7165.97070000041, -57258.1271000002], [7161.87069999985, -57258.8170999996], [7157.77070000023, -57259.2071000002], [7153.77070000023, -57259.3270999994], [7149.77070000023, -57259.1470999997], [7145.87069999985, -57258.6971000005], [7141.97070000041, -57257.9471000005], [7138.17059999984, -57256.9170999993], [7134.67059999984, -57255.6971000005], [7131.07060000021, -57254.2270999998], [7123.57060000021, -57250.5070999991], [7115.57060000021, -57245.7270999998], [7107.07060000021, -57239.8471000008], [7098.47059999965, -57233.1771000009], [7089.07060000021, -57225.2270999998], [7078.97059999965, -57216.2871000003], [7062.7706000004, -57201.3571000006], [7052.17059999984, -57191.2370999996], [7041.87060000002, -57180.7370999996], [7031.87060000002, -57169.8771000002], [7022.2706000004, -57158.6570999995], [7013.07060000021, -57147.0570999999], [7004.07060000021, -57135.1071000006], [6995.57060000021, -57122.7771000005], [6987.37060000002, -57110.0770999994]]], 'spatialReference': {'wkid': 3377, 'latestWkid': 3377}}"
8,Parit MonsunTaman Mutiara Rini,Tiada Mak,Parit Monsun,Parit,1.23996,1237.5513440802652,"{'paths': [[[7285.17100000009, -59118.4077000003], [7275.07100000046, -59133.0376999993], [7264.67100000009, -59147.1976999994], [7253.77099999972, -59160.8377], [7242.57100000046, -59173.9977000002], [7230.9709999999, -59186.6377000008], [7218.9709999999, -59198.7978000008], [7206.67100000009, -59210.4477999993], [7193.87100000028, -59221.6077999994], [7189.37100000028, -59225.2978000008], [7184.4709999999, -59228.8677999992], [7179.4709999999, -59232.3078000005], [7174.07100000046, -59235.6677999999], [7168.4709999999, -59238.9277999997], [7162.57100000046, -59242.1077999994], [7156.27099999972, -59245.2178000007], [7149.67100000009, -59248.2978000008], [7138.07100000046, -59253.2178000007], [7124.87100000028, -59258.2777999993], [7112.07100000046, -59262.8878000006], [7080.87100000028, -59273.6877999995], [7065.27099999972, -59279.4778000005], [7050.37100000028, -59285.5177999996], [7037.4709999999, -59291.5478000008], [7031.17100000009, -59294.8477999996], [7025.17100000009, -59298.2178000007], [7019.57100000046, -59301.6777999997], [7014.17100000009, -59305.2677999996], [7009.07100000046, -59308.9477999993], [7004.27099999972, -59312.7777999993], [6999.77099999972, -59316.7378000002], [6995.4709999999, -59320.8477999996], [6990.57100000046, -59326.0377999991], [6985.37100000028, -59332.1478000004], [6969.9709999999, -59352.1278000008], [6964.77099999972, -59358.5579000004], [6960.17100000009, -59363.8679000009], [6955.77099999972, -59368.4679000005], [6950.27099999972, -59373.6179000009], [6944.27099999972, -59378.6878999993], [6937.77099999972, -59383.7179000005], [6930.57100000046, -59388.8179000001], [6923.77099999972, -59393.2879000008], [6916.0708999997, -59398.0978999995], [6888.27089999989, -59414.6078999992], [6877.17090000026, -59421.4178999998], [6866.0708999997, -59428.8179000001], [6856.47090000007, -59435.9478999991], [6840.27089999989, -59449.3079000004], [6824.0708999997, -59463.3879000004], [6808.0708999997, -59478.1978999991], [6792.0708999997, -59493.7179000005], [6776.27089999989, -59509.9679000005], [6760.5708999997, -59526.9278999995], [6744.97090000007, -59544.5979999993], [6729.47090000007, -59562.9780000001], [6719.0708999997, -59575.4979999997], [6713.67090000026, -59582.818], [6710.87090000045, -59587.3780000005], [6708.5708999997, -59592.3680000007], [6706.47090000007, -59597.818], [6704.87090000045, -59603.8080000002], [6703.37090000045, -59610.0380000006], [6702.27089999989, -59617.068], [6698.97090000007, -59645.0079999994], [6698.0708999997, -59651.1980000008], [6697.0708999997, -59656.6579999998], [6695.67090000026, -59662.7880000006], [6693.97090000007, -59668.3379999995], [6692.0708999997, -59673.4179999996], [6689.77089999989, -59678.0879999995], [6687.0708999997, -59682.8080000002], [6683.87090000045, -59687.5580000002], [6680.17090000026, -59692.3780000005], [6675.97090000007, -59697.3680000007], [6667.17090000026, -59706.6779999994], [6649.67090000026, -59723.8080000002], [6642.67090000026, -59730.8880000003], [6635.87090000045, -59738.4379999992], [6630.27089999989, -59745.5480000004], [6627.27089999989, -59749.9179999996], [6624.27089999989, -59754.6381000001], [6618.27089999989, -59765.3380999994], [6613.0708999997, -59776.0680999998], [6600.77089999989, -59802.2981000002], [6597.27089999989, -59809.2181000002], [6593.97090000007, -59815.2881000005], [6590.27089999989, -59821.5581], [6586.47090000007, -59827.1981000006], [6582.67090000026, -59832.2681000009], [6578.67090000026, -59836.8480999991], [6570.87090000045, -59844.8081], [6562.5708999997, -59852.3081], [6553.97090000007, -59859.3380999994], [6544.87090000045, -59865.8980999999], [6535.37090000045, -59872.0080999993], [6525.47090000007, -59877.6281000003], [6515.27089999989, -59882.7881000005], [6504.5708999997, -59887.4980999995], [6493.37090000045, -59891.7280999999], [6481.87090000045, -59895.4880999997], [6469.87090000045, -59898.7881000005], [6457.5708999997, -59901.6281000003], [6444.77089999989, -59903.9980999995], [6431.5708999997, -59905.9080999997], [6418.0708999997, -59907.3380999994], [6404.0708999997, -59908.3081]]], 'spatialReference': {'wkid': 3377, 'latestWkid': 3377}}"
9,Parit MonsunTaman Mutiara Rini,Tiada Mak,Parit Monsun,Parit,1.11724,1115.227378118074,"{'paths': [[[7487.57110000029, -58848.4976000004], [7475.4709999999, -58855.1975999996], [7463.57100000046, -58862.0676000006], [7451.67100000009, -58869.0876000002], [7439.9709999999, -58876.2675999999], [7429.67100000009, -58882.9776000008], [7419.37100000028, -58890.1375999991], [7409.17100000009, -58897.7775999997], [7399.07100000046, -58905.8976000007], [7388.87100000028, -58914.5275999997], [7378.67100000009, -58923.7075999994], [7368.4709999999, -58933.4475999996], [7358.07100000046, -58943.8376000002], [7348.4709999999, -58953.9776000008], [7338.4709999999, -58964.7775999997], [7328.27099999972, -58976.3177000005], [7317.57100000046, -58988.8277000003], [7296.57100000046, -59014.2477000002], [7256.4709999999, -59064.3277000003], [7239.67100000009, -59084.8576999996], [7221.9709999999, -59105.9276999999], [7205.67100000009, -59124.3476999998], [7195.87100000028, -59134.8676999994], [7186.37100000028, -59144.7676999997], [7176.87100000028, -59154.1076999996], [7167.57100000046, -59162.9376999997], [7158.27099999972, -59171.3078000005], [7148.9709999999, -59179.2378000002], [7139.67100000009, -59186.7378000002], [7130.37100000028, -59193.8278000001], [7119.17100000009, -59201.5977999996], [7106.27099999972, -59209.6378000006], [7093.07100000046, -59217.2877999991], [7057.37100000028, -59237.0778000001], [7046.9709999999, -59243.2278000005], [7037.77099999972, -59248.9978], [7027.77099999972, -59255.9377999995], [7018.77099999972, -59262.8677999992], [7010.67100000009, -59269.9177999999], [7003.37100000028, -59277.1777999997], [6999.57100000046, -59281.4477999993], [6995.57100000046, -59286.4277999997], [6979.27099999972, -59308.1877999995], [6975.37100000028, -59312.8477999996], [6971.57100000046, -59316.8878000006], [6964.67100000009, -59323.3477999996], [6957.07100000046, -59329.5177999996], [6948.47090000007, -59335.4177999999], [6938.87090000045, -59341.1978999991], [6929.97090000007, -59345.9579000007], [6919.87090000045, -59350.9378999993], [6883.77089999989, -59367.1078999992], [6869.87090000045, -59373.6878999993], [6862.77089999989, -59377.3779000007], [6856.27089999989, -59380.9978999998], [6850.27089999989, -59384.6379000004], [6844.5708999997, -59388.3278999999], [6831.17090000026, -59397.7379000001], [6817.97090000007, -59407.4079], [6804.97090000007, -59417.3378999997], [6792.17090000026, -59427.5579000004], [6779.5708999997, -59438.0178999994], [6767.17090000026, -59448.7678999994], [6754.97090000007, -59459.7778999992], [6742.97090000007, -59471.0579000004], [6731.17090000026, -59482.6078999992], [6719.5708999997, -59494.4079], [6708.17090000026, -59506.5078999996], [6696.97090000007, -59518.8479999993], [6685.97090000007, -59531.4580000006], [6675.0708999997, -59544.3379999995], [6664.47090000007, -59557.5079999994], [6654.0708999997, -59570.9279999994]]], 'spatialReference': {'wkid': 3377, 'latestWkid': 3377}}"
10,Parit MonsunTaman Mutiara Rini,Tiada Mak,Parit Monsun,Parit,1.61225,1609.3329478476587,"{'paths': [[[7809.07120000012, -59046.9375999998], [7793.77120000031, -59067.2675999999], [7778.07120000012, -59087.2875999995], [7762.07120000012, -59106.9575999994], [7745.67119999975, -59126.3076000009], [7735.07120000012, -59138.0776000004], [7723.57120000012, -59149.9675999992], [7710.97119999956, -59162.0976999998], [7697.07120000012, -59174.7177000009], [7684.77120000031, -59185.4376999997], [7670.87119999994, -59197.1876999997], [7624.67119999975, -59234.8877000008], [7608.07120000012, -59248.6577000003], [7592.27120000031, -59262.1976999994], [7578.37119999994, -59274.7477000002], [7564.97119999956, -59287.5677000005], [7552.77120000031, -59300.0877], [7541.57120000012, -59312.4476999994], [7531.27120000031, -59324.7776999995], [7525.67119999975, -59332.1377000008], [7519.57110000029, -59340.5376999993], [7500.47109999973, -59368.5478000008], [7493.47109999973, -59378.5478000008], [7486.47109999973, -59387.9778000005], [7479.67109999992, -59396.2278000005], [7473.07110000029, -59403.7278000005], [7465.97109999973, -59411.3577999994], [7458.17109999992, -59419.1877999995], [7449.87110000011, -59427.3477999996], [7431.97109999973, -59443.7777999993], [7400.27109999955, -59471.6378000006], [7376.47109999973, -59492.5277999993], [7354.77109999955, -59510.9277999997], [7334.47109999973, -59527.6478000004], [7315.07110000029, -59543.0379000008], [7296.07110000029, -59557.4278999995], [7277.57110000029, -59570.7778999992], [7259.37110000011, -59583.1778999995], [7241.57110000029, -59594.6978999991], [7227.87110000011, -59602.8779000007], [7212.37110000011, -59611.3979000002], [7195.97109999973, -59619.9579000007], [7149.27109999955, -59643.4779000003], [7135.07110000029, -59651.0778999999], [7122.47109999973, -59658.2179000005], [7095.27109999955, -59674.6479000002], [7067.67109999992, -59692.1980000008], [7039.57100000046, -59710.9079999998], [7011.07100000046, -59730.8080000002], [6981.87100000028, -59751.9580000006], [6951.9709999999, -59774.5480000004], [6920.87100000028, -59798.7579999994], [6888.27099999972, -59824.9179999996], [6869.37100000028, -59840.4879999999], [6850.67100000009, -59856.2579999994], [6832.07100000046, -59872.2280999999], [6813.67100000009, -59888.4180999994], [6795.4709999999, -59904.8081], [6777.4709999999, -59921.3980999999], [6759.57100000046, -59938.2181000002], [6741.87100000028, -59955.2181000002], [6724.37100000028, -59972.4481000006], [6706.9709999999, -59989.8781000003], [6689.77099999972, -60007.5181000009], [6672.77099999972, -60025.3681000005], [6655.9709999999, -60043.4080999997], [6639.27099999972, -60061.6681999993], [6622.77099999972, -60080.1282000002], [6606.4709999999, -60098.7982000001]]], 'spatialReference': {'wkid': 3377, 'latestWkid': 3377}}"
